created_at,closed_at,summary,address
2017-01-30T21:10:44-05:00,,Bad pothole ,"398 H St Chula Vista, CA 91910, USA"
2017-01-30T20:57:20-05:00,,Street Lamp,"202 Ct-34 New Haven, CT 06519, USA"
2017-01-30T20:56:56-05:00,,Tooele County Commuters,"Exit 99 Tooele/Tooele, Utah"
2017-01-30T20:56:17-05:00,,Street or Traffic Light Problem,"Sports Park Way Vista, CA 92083, USA"
2017-01-30T20:48:07-05:00,,Pothole,"125 Park Drive Decatur, Georgia"
2017-01-30T20:42:51-05:00,,Building Violation,"3818 N Long Ave CHICAGO, IL 60641"
2017-01-30T20:38:43-05:00,,Building Violation,1330 E 53rd St South Side
2017-01-30T20:38:14-05:00,,Street light out,"320 S Quadrille Blvd West Palm Beach, FL 33401, USA"
2017-01-30T20:32:58-05:00,,Sanitation Department,"750 Burlington Ave N Saint Petersburg, Florida"
2017-01-30T20:24:13-05:00,,Traffic signal inoperative,6306 Rexton Dr Houston TX 77084
2017-01-30T20:17:39-05:00,,Military Banners,"3196 Hanover Street Corona, California"
2017-01-30T20:15:44-05:00,,Street Repair,"6686-6762 16th Street Northwest Washington, District of Columbia"
2017-01-30T20:14:43-05:00,,Restaurant Complaint,4616 W Diversey Ave Belmont Cragin
2017-01-30T20:08:08-05:00,,Street Repair,"3030-3098 Tilden St Nw Washington, DC 20008, USA"
2017-01-30T20:08:08-05:00,,Street Repair,"3301-3331 34th St Nw Washington, DC 20008, USA"
2017-01-30T20:07:38-05:00,,Roadkill,"Edwards Exit Off 580 Oakland, California"
2017-01-30T20:07:10-05:00,,Sidewalk,"Grove Shafter Fwy Oakland, CA 94609, USA"
2017-01-30T19:57:08-05:00,,Sidewalk,"565 29th Street Oakland, California"
2017-01-30T19:54:51-05:00,,Building Code/Zoning,"301-305a Newport Ave Quincy, MA 02170, USA"
2017-01-30T19:42:09-05:00,,Pothole,"801 45th St. Oakland, California"
2017-01-30T19:37:53-05:00,,Pothole,"201-299 Madison St Oakland, CA 94607, USA"
2017-01-30T19:30:29-05:00,,Very damaged road,"4440 Tidewater Avenue Oakland, California"
